Year,State,Number
2014,North Carolina,828855
2014,North Dakota,50097
2014,Ohio,1048918
2014,Oklahoma,351888
2014,Oregon,277847
2014,Pennsylvania,1130813
2014,Rhode Island,79210
2014,South Carolina,449211
2014,South Dakota,59282
2014,Tennessee,656852
2014,Texas,2178723
2014,Utah,147025
2014,Vermont,39780
2014,Virginia,630137
2014,Washington,485603
2014,West Virginia,207695
2014,Wisconsin,399523
2014,Wyoming,37916
2014,Guam,11413
2014,Puerto Rico,440490
2014,Virgin Islands of the U.S.,No Data
2015,Alabama,506987
2015,Alaska,42248
2015,Arizona,523374
2015,Arkansas,286454
2015,California,3015610
2015,Colorado,283057
2015,Connecticut,262215
2015,Delaware,84887
2015,District of Columbia,47108
2015,Florida,1820768
2015,Georgia,869486
2015,Hawaii,95484
2015,Idaho,99277
2015,Illinois,983639
2015,Indiana,578319
2015,Iowa,211057
2015,Kansas,212576
2015,Kentucky,458381
2015,Louisiana,451323
2015,Maine,106053
2015,Maryland,481643
2015,Massachusetts,482854
2015,Michigan,827478
2015,Minnesota,318958
2015,Mississippi,334024
2015,Missouri,537315
2015,Montana,63609
2015,Nebraska,125521
2015,Nevada,215082
2015,New Hampshire,86504
2015,New Jersey,626811
2015,New Mexico,181592
2015,New York,1529719
2015,North Carolina,829725
2015,North Dakota,51399
2015,Ohio,993030
2015,Oklahoma,345892
2015,Oregon,336939
2015,Pennsylvania,1048651
2015,Rhode Island,76294
2015,South Carolina,450035
2015,South Dakota,60764
2015,Tennessee,644841
2015,Texas,2323220
2015,Utah,146932
2015,Vermont,41707
2015,Virginia,676484
2015,Washington,466005
2015,West Virginia,212274
2015,Wisconsin,374857
2015,Wyoming,37811
2015,Guam,12797
2015,Puerto Rico,459199
2015,Virgin Islands of the U.S.,No Data
2016,Alabama,552753
2016,Alaska,41434
2016,Arizona,571841
2016,Arkansas,307625
2016,California,3088741
2016,Colorado,285147
2016,Connecticut,277912
2016,Delaware,79818
2016,District of Columbia,43014
2016,Florida,1944189
2016,Georgia,948549
2016,Hawaii,118560
2016,Idaho,111490
2016,Illinois,1028608
2016,Indiana,586112
2016,Iowa,224884
2016,Kansas,206760
2016,Kentucky,449044
2016,Louisiana,434272
2016,Maine,113558
2016,Maryland,505926
2016,Massachusetts,506608
2016,Michigan,864882
2016,Minnesota,358093
2016,Mississippi,308295
2016,Missouri,543877
2016,Montana,66284
2016,Nebraska,127091
2016,Nevada,251452
2016,New Hampshire,96662
2016,New Jersey,644988
2016,New Mexico,183978
2016,New York,1633786
2016,North Carolina,886633
2016,North Dakota,51049
2016,Ohio,1003228
2016,Oklahoma,355508
2016,Oregon,306344
2016,Pennsylvania,1144336
2016,Rhode Island,83087
2016,South Carolina,504185
2016,South Dakota,51787
2016,Tennessee,656053
2016,Texas,2333065
2016,Utah,154661
2016,Vermont,42616
2016,Virginia,687972
2016,Washington,530059
2016,West Virginia,218960
2016,Wisconsin,439230
2016,Wyoming,37562
2016,Guam,10686
2016,Puerto Rico,429157
2016,Virgin Islands of the U.S.,10070
2017,Alabama,535580
2017,Alaska,41628
2017,Arizona,564965
2017,Arkansas,281224
2017,California,3196460
2017,Colorado,324348
2017,Connecticut,275656
2017,Delaware,85130
2017,District of Columbia,42311
2017,Florida,1773643
2017,Georgia,899648
2017,Hawaii,121823
2017,Idaho,111476
2017,Illinois,1083169
2017,Indiana,602393
2017,Iowa,231914
2017,Kansas,230835
2017,Kentucky,442480
2017,Louisiana,487443
2017,Maine,115342
2017,Maryland,488942
2017,Massachusetts,519656
2017,Michigan,858321
2017,Minnesota,331504
2017,Mississippi,322280
2017,Missouri,493456
2017,Montana,64954
2017,Nebraska,147136
2017,Nevada,242394
2017,New Hampshire,90897
2017,New Jersey,771819
2017,New Mexico,169973
2017,New York,1632181
2017,North Carolina,907022
2017,North Dakota,52685
2017,Ohio,1021981
2017,Oklahoma,380204
2017,Oregon,314057
2017,Pennsylvania,1071879
2017,Rhode Island,75336
2017,South Carolina,528643
2017,South Dakota,73236
2017,Tennessee,683404
2017,Texas,2512120
2017,Utah,155438
2017,Vermont,41538
2017,Virginia,694037
2017,Washington,527405
2017,West Virginia,220426
2017,Wisconsin,410932
2017,Wyoming,40515
2017,Guam,14895
2017,Puerto Rico,473959
2017,Virgin Islands of the U.S.,No Data
2018,Alabama,550149
2018,Alaska,48620
2018,Arizona,590916
2018,Arkansas,321645
2018,California,3209418
2018,Colorado,311554
2018,Connecticut,275491
2018,Delaware,91358
2018,District of Columbia,48599
2018,Florida,2164009
2018,Georgia,1013358
2018,Hawaii,128653
2018,Idaho,132857
2018,Illinois,993082
2018,Indiana,640435
2018,Iowa,242403
2018,Kansas,255215
2018,Kentucky,474456
2018,Louisiana,505468
2018,Maine,115001
2018,Maryland,568232
2018,Massachusetts,476687
2018,Michigan,912794
2018,Minnesota,386480
2018,Mississippi,326420
2018,Missouri,546090
2018,Montana,77847
2018,Nebraska,141491
2018,Nevada,254570
2018,New Hampshire,113110
2018,New Jersey,760249
2018,New Mexico,200548
2018,New York,1717067
2018,North Carolina,1014358
2018,North Dakota,54372
2018,Ohio,1111161
2018,Oklahoma,373824
2018,Oregon,364447
2018,Pennsylvania,1147490
2018,Rhode Island,92821
2018,South Carolina,531143
2018,South Dakota,61656
2018,Tennessee,730416
2018,Texas,2694402
2018,Utah,186706
2018,Vermont,46377
2018,Virginia,701793
2018,Washington,582006
2018,West Virginia,232336
2018,Wisconsin,392965
2018,Wyoming,38658
2018,Guam,14607
2018,Puerto Rico,421569
2018,Virgin Islands of the U.S.,No Data
2019,Alabama,532380
2019,Alaska,40196
2019,Arizona,616870
2019,Arkansas,315967
2019,California,3108573
2019,Colorado,316429
2019,Connecticut,271864
2019,Delaware,98778
2019,District of Columbia,50203
2019,Florida,2034991
2019,Georgia,973450
2019,Hawaii,116537
2019,Idaho,137374
2019,Illinois,1110943
2019,Indiana,640682
2019,Iowa,250296
2019,Kansas,238559
2019,Kentucky,463951
2019,Louisiana,447844
2019,Maine,115532
2019,Maryland,521239
2019,Massachusetts,468450
2019,Michigan,871933
2019,Minnesota,383621
2019,Mississippi,338111
2019,Missouri,492056
2019,Montana,64014
2019,Nebraska,148776
2019,Nevada,262809
2019,New Hampshire,102108
2019,New Mexico,197270
2019,New York,1621383
2019,North Carolina,973221
2019,North Dakota,52085
2019,Ohio,1090993
2019,Oklahoma,366295
2019,Oregon,289372
2019,Pennsylvania,1099472
2019,Rhode Island,88775
2019,South Carolina,540871
2019,South Dakota,71383
2019,Tennessee,732729
2019,Texas,2659458
2019,Utah,183508
2019,Vermont,44280
2019,Virginia,733302
2019,Washington,563519
2019,West Virginia,223774
2019,Wisconsin,395409
2019,Wyoming,34577
2019,Guam,12460
2019,Puerto Rico,456354
2019,New Jersey,No Data
2019,Virgin Islands of the U.S.,No Data
2020,Alabama,568189
2020,Alaska,41901
2020,Arizona,631251
2020,Arkansas,307385
2020,California,3026764
2020,Colorado,345793
2020,Connecticut,268262
2020,Delaware,96844
2020,District of Columbia,43610
2020,Florida,2071045
2020,Georgia,953887
2020,Hawaii,120971
2020,Idaho,120640
2020,Illinois,1037818
2020,Indiana,612357
2020,Iowa,248315
2020,Kansas,244977
2020,Kentucky,450340
2020,Louisiana,500791
2020,Maine,113136
2020,Maryland,481290
2020,Massachusetts,487078
2020,Michigan,964964
2020,Minnesota,385569
2020,Mississippi,333501
2020,Missouri,515337
2020,Montana,76837
2020,Nebraska,145127
2020,Nevada,269783
2020,New Hampshire,98505
2020,New Jersey,693223
2020,New Mexico,201781
2020,New York,1581238
2020,North Carolina,1028026
2020,North Dakota,57805
2020,Ohio,1129638
2020,Oklahoma,390201
2020,Oregon,322333
2020,Pennsylvania,1162598
2020,Rhode Island,88467
2020,South Carolina,558570
2020,South Dakota,53298
2020,Tennessee,760719
2020,Texas,2758942
2020,Utah,191658
2020,Vermont,40068
2020,Virginia,743024
2020,Washington,521906
2020,West Virginia,223338
2020,Wisconsin,406445
2020,Wyoming,37935
2020,Guam,15701
2020,Puerto Rico,429720
2020,Virgin Islands of the U.S.,No Data
